# Average strain over simulation: 0.0153128
# Frame	Strain
399	0.00231845
400	0.00229823
401	0.00227819
402	0.00225833
403	0.00223817
404	0.00221844
405	0.00219888
406	0.0021795
407	0.00238685
408	0.00214151
409	0.0021231
410	0.00210441
411	0.00208612
412	0.00206799
413	0.00205002
414	0.002032
415	0.00201415
416	0.00199646
417	0.00197914
418	0.00196218
419	0.00194599
420	0.00192933
421	0.00191282
422	0.00189665
423	0.00188024
424	0.00186436
425	0.00184882
426	0.00183283
427	0.00181738
428	0.00180243
429	0.00177978
430	0.00177163
431	0.00175727
432	0.00174303
433	0.001728
434	0.00171294
435	0.00169802
436	0.00168348
437	0.00166925
438	0.00230897
439	0.0016415
440	0.00162844
