# Average strain over simulation: 0.021652
# Frame	Strain
373	0.00775979
374	0.00781837
375	0.00787391
376	0.00793295
377	0.00799221
378	0.00804839
379	0.00810478
380	0.00816471
381	0.00822152
382	0.00828189
383	0.0083425
384	0.00839994
385	0.00846099
386	0.00852227
387	0.00858377
388	0.00864207
389	0.00870402
390	0.00876619
391	0.0088286
392	0.00889122
393	0.00895408
394	0.00901716
395	0.00908399
396	0.00914753
397	0.0092113
398	0.00927886
399	0.00934309
400	0.00940755
401	0.00947222
402	0.00954074
403	0.00960588
404	0.00967124
405	0.00973682
406	0.00980263
407	0.00987233
408	0.00993496
409	0.0100051
410	0.0100718
411	0.0101387
412	0.0102096
413	0.010277
414	0.0103445
415	0.0104124
416	0.0104804
417	0.0105486
418	0.0106171
419	0.0106858
420	0.0107547
421	0.0108238
422	0.0108934
423	0.0109627
424	0.0110286
425	0.0110986
426	0.0111687
427	0.0112431
428	0.0113137
429	0.0113845
430	0.0114556
431	0.0115268
432	0.0116023
433	0.011674
434	0.0117419
435	0.011814
436	0.0118863
437	0.0119589
438	0.0120357
439	0.0121086
440	0.0121818
441	0.0122552
442	0.0123329
443	0.0124067
444	0.0124807
445	0.012559
446	0.0126335
447	0.0127081
448	0.012783
449	0.012858
450	0.0129333
451	0.013013
452	0.0130844
453	0.0131603
454	0.0132364
455	0.0133127
456	0.0133934
457	0.0134701
458	0.013547
459	0.0136026
460	0.0136756
461	0.013753
462	0.0138306
463	0.0139084
464	0.0139865
465	0.0140647
466	0.0141475
467	0.0142173
468	0.0142918
469	0.0143707
470	0.0144499
471	0.0145293
472	0.0146089
473	0.0146886
474	0.0147686
475	0.0148487
476	0.0149291
477	0.0150096
478	0.0150948
479	0.0151757
480	0.0152568
481	0.0153427
482	0.0154196
483	0.0154968
484	0.0155786
485	0.0156607
486	0.0157429
487	0.0158253
488	0.0159125
489	0.0159953
490	0.0160783
491	0.0161615
492	0.0162495
493	0.016333
494	0.0164168
495	0.0165054
496	0.0165895
497	0.0166737
498	0.0167582
499	0.0168429
500	0.0169277
501	0.0170174
502	0.0170979
503	0.0171833
504	0.017264
505	0.0173545
506	0.0174404
507	0.0175217
508	0.0176129
509	0.0176992
510	0.0177857
511	0.0178677
512	0.0179546
513	0.0180466
514	0.0181339
515	0.0182213
516	0.0183138
517	0.0184016
518	0.0184896
519	0.0185778
520	0.018671
521	0.0187595
522	0.0188481
523	0.0189419
524	0.019026
525	0.0191201
526	0.0192094
527	0.0192989
528	0.0193936
529	0.0194834
530	0.0195734
531	0.0196636
532	0.0197539
533	0.0198494
534	0.0199401
535	0.0200359
536	0.0201269
537	0.020218
538	0.0203093
539	0.0204059
540	0.0204975
541	0.0205944
542	0.0206863
543	0.0207784
544	0.0208758
545	0.0209682
546	0.0210659
547	0.0211587
548	0.0212515
549	0.0213497
550	0.0214429
551	0.0215415
552	0.021635
553	0.0217286
554	0.0218172
555	0.0219059
556	0.022
557	0.0220942
558	0.0221938
559	0.0222284
560	0.0221771
561	0.0221328
562	0.02209
563	0.0220475
564	0.0220036
565	0.0219615
566	0.0219197
567	0.0218779
568	0.0218348
569	0.0217935
570	0.0217523
571	0.0217113
572	0.0216705
573	0.0216298
574	0.0215894
575	0.021549
576	0.0215089
577	0.021469
578	0.0214292
579	0.0213914
580	0.021356
581	0.0213219
582	0.0212879
583	0.0212542
584	0.0212192
585	0.0211858
586	0.0211524
587	0.0211193
588	0.021085
589	0.0210533
590	0.0210206
591	0.020988
592	0.0209568
593	0.0209258
594	0.0208936
595	0.0208616
596	0.0208297
597	0.020798
598	0.0207676
599	0.0207373
600	0.0207072
601	0.0206748
602	0.0206449
603	0.020614
604	0.0205832
605	0.0205526
606	0.0205221
607	0.0204917
608	0.0204615
609	0.0204314
610	0.0204014
611	0.0203716
612	0.020343
613	0.0203134
614	0.0202839
615	0.0202546
616	0.0202254
617	0.0201964
618	0.0201674
619	0.0201386
620	0.0201099
621	0.0200814
622	0.0200523
623	0.0200244
624	0.0199953
625	0.0199683
626	0.0199404
627	0.0199115
628	0.0198838
629	0.0198573
630	0.0198298
631	0.0198025
632	0.0197753
633	0.0197482
634	0.0197212
635	0.0196933
636	0.0196665
637	0.0196399
638	0.0196134
639	0.0195872
640	0.0195607
641	0.0195355
642	0.0195115
643	0.0194855
644	0.0194587
645	0.019433
646	0.0194083
647	0.0193833
648	0.0193574
649	0.0193321
650	0.0193079
651	0.0192838
652	0.0192588
653	0.0192339
654	0.0192101
655	0.0191854
656	0.01916
657	0.0191355
658	0.0191112
659	0.0190869
660	0.0190628
661	0.0190388
662	0.0190144
663	0.018991
664	0.0189673
665	0.0189437
666	0.0189202
667	0.0188977
668	0.0188743
669	0.0188502
670	0.0188271
671	0.0188041
672	0.0187812
673	0.0187575
674	0.0187348
675	0.0187121
676	0.0186887
677	0.0186663
678	0.018644
679	0.0186216
680	0.0185988
681	0.0185767
682	0.0185539
683	0.0185329
684	0.0185178
685	0.0184978
686	0.018477
687	0.0184555
688	0.0184341
689	0.0184136
690	0.0183923
691	0.0183703
692	0.0183493
693	0.0183283
694	0.0183074
695	0.0182858
696	0.0182651
697	0.0182437
698	0.0182247
699	0.0182068
700	0.0181883
701	0.0181706
702	0.0181522
703	0.0181346
704	0.018117
705	0.0180992
706	0.0180821
707	0.0180641
708	0.0180474
709	0.0180295
710	0.0180124
711	0.0179953
712	0.0179782
713	0.0179606
714	0.0179437
715	0.0179262
716	0.0179094
717	0.0178926
718	0.017876
719	0.0178594
720	0.0178435
721	0.0178264
722	0.0178099
723	0.0177936
724	0.0177767
725	0.0177604
726	0.0177443
