# Average strain over simulation: 0.0118104
# Frame	Strain
393	0.0071252
394	0.00712972
395	0.00714697
396	0.00715863
397	0.00716911
398	0.00717965
399	0.00718932
400	0.00719885
401	0.00720838
402	0.00722153
403	0.00726182
404	0.00730194
405	0.00734118
406	0.00735323
407	0.00738313
408	0.00742816
409	0.00746708
410	0.00750621
411	0.00754515
412	0.0075839
413	0.00763402
414	0.00767725
415	0.00772321
416	0.00778419
417	0.00782218
418	0.00786765
419	0.00789767
420	0.00792763
421	0.00797238
422	0.00801055
423	0.0080391
424	0.00806102
425	0.00809034
426	0.00813409
427	0.00817638
428	0.00822076
429	0.00826367
430	0.0083063
431	0.00834879
432	0.0083837
433	0.00842527
434	0.00846694
435	0.00851579
436	0.0085353
437	0.00856949
438	0.00861009
439	0.00864341
440	0.00868334
441	0.00871787
442	0.00875556
443	0.00879452
444	0.00883317
445	0.00887905
446	0.00890326
447	0.00894398
448	0.00897764
449	0.00902286
450	0.0090461
451	0.00908541
452	0.00911244
453	0.00914822
454	0.00918381
455	0.00922622
456	0.0092477
457	0.00928217
458	0.00931052
459	0.0093473
460	0.00936659
461	0.00939485
462	0.00942722
463	0.00946255
464	0.00948672
465	0.0095163
466	0.00953945
467	0.00956547
468	0.00958573
469	0.00961118
470	0.00964149
471	0.00967171
472	0.00969592
