# Average strain over simulation: 0.0282424
# Frame	Strain
372	0.00666988
373	0.00672394
374	0.00676917
375	0.00682063
376	0.0068723
377	0.00692112
378	0.00697013
379	0.00701932
380	0.00705942
381	0.00711205
382	0.007168
383	0.00722106
384	0.00727432
385	0.00731519
386	0.00736882
387	0.00742584
388	0.00747989
389	0.00753736
390	0.007579
391	0.00763365
392	0.00769173
393	0.0077468
394	0.00780533
395	0.00784775
396	0.0079034
397	0.00796255
398	0.00801862
399	0.00807822
400	0.00812707
401	0.00818474
402	0.00824162
403	0.0082987
404	0.008356
405	0.00840333
406	0.00846099
407	0.00852227
408	0.00857812
409	0.00863864
410	0.00869368
411	0.0087489
412	0.00881124
413	0.00887032
414	0.0089331
415	0.0089891
416	0.00904527
417	0.00910515
418	0.00916522
419	0.00923261
420	0.00928955
421	0.00933237
422	0.0093932
423	0.00945783
424	0.00952268
425	0.00958776
426	0.00963853
427	0.009704
428	0.0097697
429	0.00983561
430	0.00990175
431	0.00995334
432	0.0100199
433	0.0100829
434	0.0101499
435	0.0102171
436	0.0102695
437	0.010337
438	0.0104048
439	0.010469
440	0.0105373
441	0.0105943
442	0.0106591
443	0.0107279
444	0.0107969
445	0.0108623
446	0.0109202
447	0.0109821
448	0.011048
449	0.011118
450	0.0111883
451	0.0112509
452	0.0113137
453	0.0113845
454	0.0114556
455	0.0115268
456	0.0115904
457	0.0116501
458	0.0117219
459	0.01179
460	0.0118622
461	0.0119306
462	0.0119952
463	0.0120681
464	0.012133
465	0.0122022
466	0.0122756
467	0.0123288
468	0.0123985
469	0.0124725
470	0.0125425
471	0.0126169
472	0.0126749
473	0.0127455
474	0.0128178
475	0.0128915
476	0.0129668
477	0.0130256
478	0.0130971
479	0.013173
480	0.0132448
481	0.0133211
482	0.0133891
483	0.0134616
484	0.0135384
485	0.0136155
486	0.0136928
487	0.0137573
488	0.0138306
489	0.0139084
490	0.0139821
491	0.0140603
492	0.0141344
493	0.0142042
494	0.0142786
495	0.0143532
496	0.0144298
497	0.0145072
498	0.0145735
499	0.0146531
500	0.014733
501	0.0148131
502	0.0148889
503	0.0149603
504	0.015041
505	0.0151173
506	0.0151982
507	0.0152749
508	0.0153291
509	0.015406
510	0.0154786
511	0.0155604
512	0.0156424
513	0.0157155
514	0.0157887
515	0.0158712
516	0.0159493
517	0.0160276
518	0.0161014
519	0.0161754
520	0.0162541
521	0.0163377
522	0.0164168
523	0.0165007
524	0.0165708
525	0.016655
526	0.0167394
527	0.016824
528	0.0169088
529	0.0169749
530	0.01706
531	0.0171453
532	0.0172308
533	0.0173164
534	0.0173927
535	0.0174739
536	0.01756
537	0.0176463
538	0.0177328
539	0.0178002
540	0.0178822
541	0.0179691
542	0.0180514
543	0.0181387
544	0.0182116
545	0.0182943
546	0.0183821
547	0.0184652
548	0.0185484
549	0.0186219
550	0.0187103
551	0.0187939
552	0.0188777
553	0.0189617
